Date,Open,High,Low,Close
10/20/2023,"3,076.69","3,100.44","3,074.07","3,076.69"
10/19/2023,"3,111.78","3,099.60","3,099.60","3,099.60"
10/18/2023,"3,167.63","3,136.62","3,136.62","3,136.62"
10/17/2023,"3,185.79","3,171.83","3,171.83","3,171.83"
10/16/2023,"3,163.89","3,179.39","3,157.63","3,163.89"
10/13/2023,"3,192.33","3,185.79","3,185.79","3,185.79"
10/12/2023,"3,218.69","3,232.09","3,202.15","3,218.69"
10/11/2023,"3,192.87","3,214.24","3,185.05","3,192.87"
10/10/2023,"3,185.84","3,202.83","3,182.47","3,199.07"
10/09/2023,"3,165.72","3,174.84","3,157.45","3,166.51"
10/06/2023,"3,158.10","3,179.94","3,155.86","3,174.39"
10/05/2023,"3,155.10","3,174.99","3,145.66","3,155.10"
10/04/2023,"3,163.33","3,147.39","3,147.39","3,147.39"
10/03/2023,"3,192.35","3,197.12","3,176.49","3,192.35"
10/02/2023,"3,226.53","3,208.86","3,208.86","3,208.86"
09/29/2023,"3,217.41","3,228.67","3,212.53","3,217.41"
09/28/2023,"3,199.92","3,206.99","3,206.99","3,206.99"
09/27/2023,"3,199.38","3,200.84","3,184.78","3,200.03"
09/26/2023,"3,211.81","3,215.07","3,215.07","3,215.07"
09/25/2023,"3,215.40","3,222.12","3,195.68","3,215.40"
09/22/2023,"3,204.82","3,211.11","3,179.33","3,204.82"
09/21/2023,"3,202.81","3,236.51","3,199.91","3,202.81"
09/20/2023,"3,245.75","3,249.76","3,227.64","3,242.00"
09/19/2023,"3,240.75","3,266.47","3,235.96","3,240.75"
09/18/2023,"3,285.15","3,263.39","3,263.39","3,263.39"
09/15/2023,"3,263.22","3,289.07","3,259.35","3,280.69"
09/14/2023,"3,225.13","3,249.51","3,249.51","3,249.51"
09/13/2023,"3,218.93","3,223.60","3,204.84","3,218.93"
09/12/2023,"3,219.39","3,214.46","3,214.46","3,214.46"
09/11/2023,"3,218.28","3,221.18","3,200.42","3,218.28"
09/08/2023,"3,216.59","3,207.75","3,207.75","3,207.75"
09/07/2023,"3,221.47","3,226.59","3,226.59","3,226.59"
09/06/2023,"3,238.18","3,245.18","3,210.49","3,222.88"
09/05/2023,"3,231.39","3,233.84","3,214.63","3,226.83"
09/04/2023,"3,240.53","3,245.29","3,234.11","3,238.97"
08/31/2023,"3,221.67","3,239.15","3,216.52","3,233.30"
08/30/2023,"3,237.42","3,239.70","3,214.89","3,220.22"
08/29/2023,"3,222.98","3,223.09","3,223.09","3,223.09"
08/28/2023,"3,200.05","3,213.68","3,213.68","3,213.68"
08/25/2023,"3,173.57","3,189.88","3,189.88","3,189.88"
