Rank,School Name,name,latitude,longitude
1,Rosyth School,Rosyth School,1.372890675,103.8750015
2,CHIJ St. Nicholas Girls' School (Primary Section),CHIJ St. Nicholas Girls' School (Primary Section),1.373979047,103.83424
3,Pei Hwa Presbyterian Primary School,Pei Hwa Presbyterian Primary School,1.338056346,103.7761064
4,Ai Tong School,Ai Tong School,1.360583434,103.8330203
5,Nan Hua Primary School,Nan Hua Primary School,1.3192016,103.7610951
6,Temasek Primary School,Temasek Primary School,1.317706776,103.9455907
7,Rulang Primary School,Rulang Primary School,1.346738689,103.718458
8,Catholic High School (Primary),Catholic High School (Primary),1.354388784,103.8442107
9,Tao Nan School,Tao Nan School,1.294332105,103.8490262
10,St. Hilda's Primary School,St. Hilda's Primary School,1.349609218,103.9361045
11,Anglo-Chinese School (Junior),Anglo-Chinese School (Junior),1.309350413,103.8409503
12,Pei Chun Public School,Pei Chun Public School,1.337373587,103.8555856
13,Henry Park Primary School,Henry Park Primary School,1.316676462,103.7842962
14,Nanyang Primary School,Nanyang Primary School,1.320847499,103.8077502
15,Radin Mas Primary School,Radin Mas Primary School,1.274958236,103.8241883
16,Gongshang Primary School,Gongshang Primary School,1.357116068,103.9491448
17,Anglo-Chinese School (Primary),Anglo-Chinese School (Primary),1.318370545,103.8356097
18,Methodist Girls' School (Primary),Methodist Girls' School (Primary),1.349472763,103.8849713
19,CHIJ Primary (Toa Payoh),CHIJ Primary (Toa Payoh),1.332752647,103.8418473
20,Fairfield Methodist School (Primary),Fairfield Methodist School (Primary),1.301004419,103.7854556
21,Red Swastika School,Red Swastika School,1.334056596,103.9343175
22,Kuo Chuan Presbyterian Primary School,Kuo Chuan Presbyterian Primary School,1.349398137,103.8550182
23,Holy Innocents' Primary School,Holy Innocents' Primary School,1.366938309,103.8941149
24,Yu Neng Primary School,Yu Neng Primary School,1.333889303,103.9321449
25,Singapore Chinese Girls' School (Primary),Singapore Chinese Girls' School (Primary),1.320807252,103.8277447
26,Frontier Primary School,Frontier Primary School,1.336412987,103.6997017
27,South View Primary School,South View Primary School,1.381666644,103.7462758
28,Chongzheng Primary School,Chongzheng Primary School,1.350707392,103.9513995
29,Chongfu School,Chongfu School,1.438395629,103.8393092
30,River Valley Primary School,River Valley Primary School,1.294223285,103.8358152
31,Sengkang Green Primary School,Sengkang Green Primary School,1.392846067,103.8752177
32,Westwood Primary School,Westwood Primary School,1.347184566,103.7005342
33,Pasir Ris Primary School,Pasir Ris Primary School,1.365557147,103.9609189
34,Anderson Primary School,Anderson Primary School,1.384264294,103.8413921
35,Kong Hwa School,Kong Hwa School,1.31099674,103.888352
36,Shuqun Primary School,Shuqun Primary School,1.347653114,103.7215237
37,Nan Chiau Primary School,Nan Chiau Primary School,1.392211499,103.8911809
38,St. Joseph's Institution Junior,St. Joseph's Institution Junior,1.317318595,103.845523
39,West Spring Primary School,West Spring Primary School,1.389441459,103.7661957
40,Princess Elizabeth Primary School,Princess Elizabeth Primary School,1.349203513,103.7410196
41,Canberra Primary School,Canberra Primary School,1.451250244,103.8158589
42,Maris Stella High School (Primary Section),Maris Stella High School (Primary Section),1.342649221,103.8785571
43,Northland Primary School,Northland Primary School,1.420969899,103.8409284
44,Admiralty Primary School,Admiralty Primary School,1.454038375,103.8174362
45,Maha Bodhi School,Maha Bodhi School,1.328470867,103.9012987
46,St. Anthony's Primary School,St. Anthony's Primary School,1.364113431,103.7489805
47,Punggol View Primary School,Punggol View Primary School,1.405145826,103.9051564
48,Xinmin Primary School,Xinmin Primary School,1.371395489,103.8830808
49,Punggol Green Primary School,Punggol Green Primary School,1.401872206,103.8988013
50,Bukit Panjang Primary School,Bukit Panjang Primary School,1.373621793,103.7693749
51,Paya Lebar Methodist Girls' School (Primary),Paya Lebar Methodist Girls' School (Primary),1.349472763,103.8849713
52,Riverside Primary School,Riverside Primary School,1.447004265,103.801889
53,Qifa Primary School,Qifa Primary School,1.313265833,103.7566291
54,Mee Toh School,Mee Toh School,1.394618454,103.9085895
55,Jurong Primary School,Jurong Primary School,1.347184566,103.7005342
56,Keming Primary School,Keming Primary School,1.3455285,103.7564494
57,White Sands Primary School,White Sands Primary School,1.365557147,103.9609189
58,Horizon Primary School,Horizon Primary School,1.399550034,103.9134049
59,Raffles Girls' Primary School,Raffles Girls' Primary School,1.32940426,103.8064429
60,Hong Wen School,Hong Wen School,1.32176,103.8576285
61,Oasis Primary School,Oasis Primary School,1.404624132,103.9111206
62,St. Andrew's Junior School,St. Andrew's Junior School,1.331058249,103.8653423
63,Innova Primary School,Innova Primary School,1.428967007,103.7906075
64,Poi Ching School,Poi Ching School,1.357651223,103.9352465
65,CHIJ Our Lady of Good Counsel,CHIJ Our Lady of Good Counsel,1.357429523,103.8640094
66,Ngee Ann Primary School,Ngee Ann Primary School,1.305525059,103.917463
67,Yangzheng Primary School,Yangzheng Primary School,1.348645758,103.8685955
68,Fengshan Primary School,Fengshan Primary School,1.329805988,103.9317103
69,St. Margaret's Primary School,St. Margaret's Primary School,1.325000943,103.8816751
70,Waterway Primary School,Waterway Primary School,1.398828006,103.9186216
71,Fern Green Primary School,Fern Green Primary School,1.39768,103.87985
72,Junyuan Primary School,Junyuan Primary School,1.347870748,103.9392217
73,Hougang Primary School,Hougang Primary School,1.377382452,103.8808053
74,Jurong West Primary School,Jurong West Primary School,1.344879056,103.6992864
75,De La Salle School,De La Salle School,1.39470783,103.7432018
76,Wellington Primary School,Wellington Primary School,1.451920192,103.8223037
77,Springdale Primary School,Springdale Primary School,1.394670103,103.8899262
78,St. Gabriel's Primary School,St. Gabriel's Primary School,1.349588152,103.8626511
79,Teck Ghee Primary School,Teck Ghee Primary School,1.365587821,103.8509571
80,Tampines Primary School,Tampines Primary School,1.350707392,103.9513995
81,CHIJ (Katong) Primary,CHIJ (Katong) Primary,1.306485353,103.9111056
82,Chua Chu Kang Primary School,Chua Chu Kang Primary School,1.377758901,103.7418329
83,Huamin Primary School,Huamin Primary School,1.426972845,103.8442402
84,Woodlands Primary School,Woodlands Primary School,1.432736207,103.7902303
85,Tanjong Katong Primary School,Tanjong Katong Primary School,1.305240843,103.9000927
86,Jiemin Primary School,Jiemin Primary School,1.427688477,103.8304255
87,Woodgrove Primary School,Woodgrove Primary School,1.432736207,103.7902303
88,CHIJ (Kellock),CHIJ (Kellock),1.275022723,103.8281576
89,CHIJ Our Lady Queen of Peace,CHIJ Our Lady Queen of Peace,1.366603669,103.7674122
90,Fuchun Primary School,Fuchun Primary School,1.430479908,103.7781929
91,Punggol Cove Primary School,Punggol Cove Primary School,1.411599233,103.8988039
92,St. Stephen's School,St. Stephen's School,1.318775669,103.9175578
93,Canossa Catholic Primary School,Canossa Catholic Primary School,1.326644245,103.882228
94,Dazhong Primary School,Dazhong Primary School,1.359179745,103.7484721
95,Anchor Green Primary School,Anchor Green Primary School,1.390369987,103.8871654
96,Haig Girls' School,Haig Girls' School,1.311943443,103.9029026
97,Xingnan Primary School,Xingnan Primary School,1.342547449,103.6879503
98,Jing Shan Primary School,Jing Shan Primary School,1.372294021,103.8518201
99,Compassvale Primary School,Compassvale Primary School,1.38376923,103.8913547
100,Rivervale Primary School,Rivervale Primary School,1.387061465,103.9032027
101,Punggol Primary School,Punggol Primary School,1.405145826,103.9051564
102,CHIJ Our Lady of the Nativity,CHIJ Our Lady of the Nativity,1.373574097,103.897769
103,Geylang Methodist School (Primary),Geylang Methodist School (Primary),1.317591268,103.8838457
104,Yishun Primary School,Yishun Primary School,1.427688477,103.8304255
105,Zhenghua Primary School,Zhenghua Primary School,1.379548875,103.7693135
106,Evergreen Primary School,Evergreen Primary School,1.444153328,103.7945778
107,Opera Estate Primary School,Opera Estate Primary School,1.319319144,103.9237883
108,Concord Primary School,Concord Primary School,1.380008062,103.7362254
109,Montfort Junior School,Montfort Junior School,1.373824441,103.8893078
110,West Grove Primary School,West Grove Primary School,1.344879056,103.6992864
111,Fuhua Primary School,Fuhua Primary School,1.336503948,103.7361037
112,Alexandra Primary School,Alexandra Primary School,1.291334392,103.8244247
113,Fernvale Primary School,Fernvale Primary School,1.39030228,103.8744455
114,Peiying Primary School,Peiying Primary School,1.417233397,103.8304171
115,Elias Park Primary School,Elias Park Primary School,1.374512694,103.9451281
116,Pei Tong Primary School,Pei Tong Primary School,1.316197864,103.7675998
117,Yumin Primary School,Yumin Primary School,1.351291777,103.9504619
118,Lakeside Primary School,Lakeside Primary School,1.338203977,103.7180895
119,Naval Base Primary School,Naval Base Primary School,1.416306632,103.8387941
120,North View Primary School,North View Primary School,1.427523272,103.8481908
121,Qihua Primary School,Qihua Primary School,1.442035966,103.7883398
122,Xishan Primary School,Xishan Primary School,1.433471869,103.8377553
123,Yew Tee Primary School,Yew Tee Primary School,1.396766009,103.750986
124,Casuarina Primary School,Casuarina Primary School,1.372460639,103.9570203
125,Kheng Cheng School,Kheng Cheng School,1.337338194,103.8471485
126,Bendemeer Primary School,Bendemeer Primary School,1.321812508,103.8654042
127,Clementi Primary School,Clementi Primary School,1.315063218,103.7631445
128,St. Anthony's Canossian Primary School,St. Anthony's Canossian Primary School,1.334761991,103.941705
129,Damai Primary School,Damai Primary School,1.335461068,103.9212702
130,Zhangde Primary School,Zhangde Primary School,1.284211533,103.8259519
131,Bedok Green Primary School,Bedok Green Primary School,1.323445933,103.937879
132,Queenstown Primary School,Queenstown Primary School,1.29559365,103.8075486
133,Changkat Primary School,Changkat Primary School,1.34023164,103.9520801
134,Greenridge Primary School,Greenridge Primary School,1.385889219,103.7677945
135,Eunos Primary School,Eunos Primary School,1.32455,103.90463
136,Sembawang Primary School,Sembawang Primary School,1.445073716,103.8210424
137,Endeavour Primary School,Endeavour Primary School,1.454038375,103.8174362
138,Tampines North Primary School,Tampines North Primary School,1.360476415,103.9487258
139,Edgefield Primary School,Edgefield Primary School,1.400091395,103.9078476
140,Blangah Rise Primary School,Blangah Rise Primary School,1.276120479,103.8086285
141,Woodlands Ring Primary School,Woodlands Ring Primary School,1.434952293,103.7974357
142,Pioneer Primary School,Pioneer Primary School,1.339022647,103.6877696
143,East Spring Primary School,East Spring Primary School,1.352684007,103.9616768
144,Palm View Primary School,Palm View Primary School,1.38376923,103.8913547
145,Si Ling Primary School,Si Ling Primary School,1.432409357,103.7860351
146,Farrer Park Primary School,Farrer Park Primary School,1.312368677,103.8507664
147,Marymount Convent School,Marymount Convent School,1.34036677,103.8400211
148,Yuhua Primary School,Yuhua Primary School,1.342802305,103.7411058
149,Corporation Primary School,Corporation Primary School,1.338203977,103.7180895
150,Kranji Primary School,Kranji Primary School,1.393560505,103.7473627
151,Ang Mo Kio Primary School,Ang Mo Kio Primary School,1.365587821,103.8509571
152,Mayflower Primary School,Mayflower Primary School,1.376146217,103.8358052
