name,1_vacancy,1_registered,1_Registered_Vacancy_Percentage,2A_registered,2B_vacancy,2B_registered,2B_Registered_Vacancy_Percentage,2C_vacancy,2C_registered,2C_Registered_Vacancy_Percentage,2CS_vacancy,2CS_registered,2CS_Registered_Vacancy_Percentage
Admiralty Primary School,150,75,50,32,34,37,109,70,109,156,0,0,0
Ahmad Ibrahim Primary School,160,54,34,10,52,0,0,157,27,17,130,15,12
Ai Tong School,240,114,48,120,22,56,255,45,78,173,0,0,0
Alexandra Primary School,140,57,41,13,43,4,9,127,141,111,0,0,0
Anchor Green Primary School,180,85,47,30,42,0,0,128,36,28,93,66,71
Anderson Primary School,150,71,47,46,31,19,61,74,92,124,0,0,0
Ang Mo Kio Primary School,90,32,36,33,28,0,0,85,29,34,56,15,27
Anglo-Chinese School (Junior),210,76,36,101,31,52,168,62,79,127,0,0,0
Anglo-Chinese School (Primary),180,56,31,106,26,51,196,53,68,128,0,0,0
Angsana Primary School,220,88,40,95,32,2,6,95,167,176,0,0,0
Beacon Primary School,90,60,67,6,28,0,0,84,31,37,53,9,17
Bedok Green Primary School,150,56,37,11,48,0,0,143,27,19,116,36,31
Bendemeer Primary School,130,36,28,12,47,1,2,143,30,21,113,50,44
Blangah Rise Primary School,60,23,38,20,26,0,0,77,18,23,60,12,20
Boon Lay Garden Primary School,120,46,38,15,40,0,0,121,27,22,94,25,27
Bukit Panjang Primary School,180,100,56,78,21,24,114,42,89,212,0,0,0
Bukit Timah Primary School,120,64,53,7,36,1,3,111,71,64,40,66,165
Bukit View Primary School,260,62,24,17,80,0,0,242,27,11,215,127,59
Canberra Primary School,180,80,44,16,48,22,46,122,131,107,0,0,0
Canossa Catholic Primary School,60,48,80,3,23,19,83,50,56,112,0,0,0
Cantonment Primary School,90,45,50,4,34,2,6,100,40,40,60,19,32
Casuarina Primary School,100,76,76,18,22,0,0,66,44,67,23,28,122
Catholic High School (Primary Section),180,64,36,116,20,29,145,40,52,130,0,0,0
Cedar Primary School,180,52,29,36,51,1,2,151,38,25,113,38,34
Changkat Primary School,120,45,38,15,40,1,2,119,56,47,63,13,21
CHIJ (Katong) Primary,140,44,31,30,42,21,50,105,63,60,42,55,131
CHIJ (Kellock),140,47,34,12,47,14,30,128,49,38,79,22,28
CHIJ Our Lady of Good Counsel,90,29,32,11,37,11,30,101,40,40,61,43,70
CHIJ Our Lady of the Nativity,180,60,33,24,52,45,87,111,113,102,0,0,0
CHIJ Our Lady Queen of Peace,120,48,40,15,40,14,35,105,59,56,46,37,80
CHIJ Primary (Toa Payoh),150,50,33,78,27,53,196,55,69,125,0,0,0
CHIJ St. Nicholas Girls' School (Primary Section),150,70,47,80,20,46,230,40,84,210,0,0,0
Chongfu School,240,122,51,73,35,53,151,72,112,156,0,0,0
Chongzheng Primary School,120,60,50,41,26,7,27,72,84,117,0,0,0
Chua Chu Kang Primary School,180,121,67,44,25,14,56,62,111,179,0,0,0
Clementi Primary School,220,55,25,13,71,0,0,214,51,24,163,103,63
Compassvale Primary School,180,107,59,14,40,18,45,101,133,132,0,0,0
Concord Primary School,180,99,55,32,36,1,3,108,76,70,32,54,169
Corporation Primary School,120,45,38,17,39,2,5,118,31,26,88,18,20
Damai Primary School,90,49,54,13,29,1,3,87,22,25,65,18,28
Dazhong Primary School,140,56,40,61,28,0,0,85,83,98,2,41,2050
De La Salle School,180,91,51,16,44,5,11,128,96,75,32,33,103
East Spring Primary School,130,49,38,11,43,0,0,130,64,49,66,38,58
Edgefield Primary School,180,71,39,7,54,0,0,162,46,28,116,24,21
Elias Park Primary School,100,77,77,22,20,0,0,61,101,166,0,0,0
Endeavour Primary School,180,58,32,6,59,1,2,175,53,30,122,25,20
Evergreen Primary School,120,68,57,18,31,0,0,94,66,70,28,22,79
Fairfield Methodist School (Primary),210,116,55,94,20,52,260,40,66,165,0,0,0
Farrer Park Primary School,160,35,22,20,55,1,2,164,37,23,127,29,23
Fengshan Primary School,120,53,44,33,31,2,6,96,75,78,21,39,186
Fern Green Primary School,180,130,72,50,20,1,5,61,73,120,0,0,0
Fernvale Primary School,180,77,43,35,43,0,0,129,80,62,49,56,114
