name,latitude,longitude,Ranking 2022
Admiralty Primary School,1.454038375,103.8174362,8
Ahmad Ibrahim Primary School,1.433152715,103.8329424,166
Ai Tong School,1.360583434,103.8330203,10
Alexandra Primary School,1.291334392,103.8244247,120
Anchor Green Primary School,1.390369987,103.8871654,100
Anderson Primary School,1.384264294,103.8413921,53
Anglo-Chinese School (Junior),1.309350413,103.8409503,11
Anglo-Chinese School (Primary),1.318370545,103.8356097,14
Angsana Primary School,1.348552876,103.9518081,149
Ang Mo Kio Primary School,1.365587821,103.8509571,153
Beacon Primary School,1.383949362,103.773632,162
Bedok Green Primary School,1.323445933,103.937879,151
Bendemeer Primary School,1.321812508,103.8654042,168
Blangah Rise Primary School,1.276120479,103.8086285,163
Boon Lay Garden Primary School,1.343178538,103.7132809,169
Bukit Panjang Primary School,1.373621793,103.7693749,44
Bukit Timah Primary School,1.337299558,103.7668287,146
Bukit View Primary School,1.345860548,103.7536664,179
Canberra Primary School,1.451250244,103.8158589,75
Canossa Catholic Primary School,1.326644245,103.882228,67
Cantonment Primary School,1.275472526,103.8399626,180
Casuarina Primary School,1.372460639,103.9570203,101
Catholic High School (Primary),1.354388784,103.8442107,2
Cedar Primary School,1.335588501,103.875621,165
Changkat Primary School,1.34023164,103.9520801,150
CHIJ (Katong) Primary,1.306485353,103.9111056,78
CHIJ (Kellock),1.275022723,103.8281576,94
CHIJ Our Lady of Good Counsel,1.357429523,103.8640094,62
CHIJ Our Lady of the Nativity,1.373574097,103.897769,57
CHIJ Our Lady Queen of Peace,1.366603669,103.7674122,108
CHIJ Primary (Toa Payoh),1.332752647,103.8418473,24
CHIJ St. Nicholas Girls' School (Primary Section),1.373979047,103.83424,7
Chongfu School,1.438395629,103.8393092,12
Chongzheng Primary School,1.350707392,103.9513995,43
Chua Chu Kang Primary School,1.377758901,103.7418329,51
Clementi Primary School,1.315063218,103.7631445,158
Compassvale Primary School,1.38376923,103.8913547,91
Concord Primary School,1.380008062,103.7362254,107
Coral Primary School,1.36797826,103.9510873,182
Corporation Primary School,1.338203977,103.7180895,174
Da Qiao Primary School,1.371933083,103.8587005,182
Damai Primary School,1.335461068,103.9212702,173
Dazhong Primary School,1.359179745,103.7484721,76
De La Salle School,1.39470783,103.7432018,99
East Coast Primary School,1.329303565,103.9201195,182
East Spring Primary School,1.352684007,103.9616768,156
East View Primary School,1.346871978,103.9394901,182
Edgefield Primary School,1.400091395,103.9078476,138
Elias Park Primary School,1.374512694,103.9451281,111
Endeavour Primary School,1.454038375,103.8174362,143
Evergreen Primary School,1.444153328,103.7945778,127
Fairfield Methodist School (Primary),1.301004419,103.7854556,23
Farrer Park Primary School,1.312368677,103.8507664,123
Fengshan Primary School,1.329805988,103.9317103,95
Fernvale Primary School,1.39030228,103.8744455,96
First Toa Payoh Primary School,1.340322995,103.8555299,155
Frontier Primary School,1.336412987,103.6997017,32
Fuchun Primary School,1.430479908,103.7781929,141
Fuhua Primary School,1.336503948,103.7361037,110
Gan Eng Seng Primary School,1.285595165,103.8155474,177
Geylang Methodist School (Primary),1.317591268,103.8838457,115
Gongshang Primary School,1.357116068,103.9491448,42
Greendale Primary School,1.396481951,103.9123346,129
Greenridge Primary School,1.385889219,103.7677945,134
Greenwood Primary School,1.439899583,103.8047256,159
Haig Girls' School,1.311943443,103.9029026,126
Holy Innocents' Primary School,1.366938309,103.8941149,5
Henry Park Primary School,1.316676462,103.7842962,25
Hong Wen School,1.32176,103.8576285,58
Horizon Primary School,1.399550034,103.9134049,29
Hougang Primary School,1.377382452,103.8808053,77
Huamin Primary School,1.426972845,103.8442402,81
Innova Primary School,1.428967007,103.7906075,84
Jiemin Primary School,1.427688477,103.8304255,97
Jing Shan Primary School,1.372294021,103.8518201,86
Junyuan Primary School,1.347870748,103.9392217,98
Jurong Primary School,1.347184566,103.7005342,117
Jurong West Primary School,1.344879056,103.6992864,90
Juying Primary School,1.338359769,103.6882062,182
Keming Primary School,1.3455285,103.7564494,39
Kheng Cheng School,1.337338194,103.8471485,116
Kong Hwa School,1.31099674,103.888352,19
Kranji Primary School,1.393560505,103.7473627,106
Kuo Chuan Presbyterian Primary School,1.349398137,103.8550182,26
Lakeside Primary School,1.338203977,103.7180895,161
Lianhua Primary School,1.354241911,103.7541658,175
Maha Bodhi School,1.328470867,103.9012987,48
Maris Stella High School (Primary Section),1.342649221,103.8785571,21
Marsiling Primary School,1.43383904,103.773643,160
Marymount Convent School,1.34036677,103.8400211,119
