rent_approval_date,town,block,street_name,flat_type,predicted_monthly_rent
2022-04,clementi,307,Clementi Avenue 4,2,2308.30810546875
2022-12,bishan,445,sin ming avenue,3,2787.21142578125
2021-09,geylang,18d,circuit road,3,2582.038330078125
2022-11,bishan,153,bishan street 13,4,3978.388427734375
2022-06,ang mo kio,332,ang mo kio avenue 1,2,1995.396484375
2022-03,woodlands,684a,woodlands drive 73,4,2549.759521484375
2021-09,pasir ris,221,Pasir Ris Street 21,5,2590.759765625
2022-08,geylang,321,ubi avenue 1,2,2114.17333984375
2021-07,jurong west,913,Jurong West Street 91,4,2685.469970703125
2022-04,yishun,452,yishun ring road,3,2054.83349609375
2021-04,kallang/whampoa,109,Whampoa Road,3,2373.590087890625
2022-03,sengkang,271a,sengkang central,3,2175.6923828125
2023-06,geylang,32,Cassia Crescent,2,2484.8837890625
2021-01,bukit merah,27b,jalan membina,4,3081.39453125
2021-04,woodlands,583,Woodlands Drive 16,5,2568.9931640625
2022-12,toa payoh,18,lorong 7 toa payoh,2,2220.26806640625
2023-01,sengkang,239,compassvale walk,3,3397.93310546875
2022-06,jurong east,109,jurong east street 13,4,3119.61181640625
2021-03,sengkang,127,rivervale street,3,1900.4154052734375
2021-11,hougang,110,Hougang Avenue 1,2,1979.5968017578125
2022-02,hougang,365a,upper serangoon road,3,2202.618896484375
2021-02,bukit batok,163,bukit batok street 11,2,1870.3349609375
2021-07,bedok,36,bedok sth avenue 2,3,2154.59521484375
2022-03,toa payoh,85a,Lorong 4 Toa Payoh,2,1996.3018798828125
2023-01,ang mo kio,570,ang mo kio avenue 3,2,2940.24560546875
2022-05,serangoon,203,serangoon central,2,2193.045166015625
2021-12,sengkang,264e,compassvale bow,3,2362.651123046875
2022-04,yishun,663,Yishun Avenue 4,3,2114.859130859375
2022-10,woodlands,788,woodlands avenue 6,5,3065.9033203125
2021-11,pasir ris,189,pasir ris street 12,4,2357.04736328125
2022-06,toa payoh,25,toa payoh east,2,2034.13623046875
2021-06,toa payoh,169,Lorong 1 Toa Payoh,2,1928.542724609375
2023-04,tampines,494h,tampines street 45,3,3094.77294921875
2021-08,choa chu kang,234,Choa Chu Kang Central,3,2167.42724609375
2021-09,bedok,44,Bedok Sth Road,3,2313.3603515625
2023-07,ang mo kio,181,Ang Mo Kio Avenue 5,2,2944.052978515625
2022-11,marine parade,34,marine crescent,2,1874.3011474609375
2022-01,woodlands,336,Woodlands Avenue 1,3,2194.156494140625
2022-04,bedok,546,bedok north street 3,3,2809.559326171875
2021-08,tampines,123,simei street 1,3,2342.522216796875
2021-09,sengkang,438a,Sengkang West Avenue,3,2281.3740234375
2022-01,yishun,840,yishun street 81,3,1915.3978271484375
2021-01,tampines,519a,tampines central 8,3,2484.969970703125
2021-09,kallang/whampoa,77,Lorong Limau,2,2157.786865234375
2022-12,jurong west,662b,jurong west street 64,4,3751.2939453125
2022-12,tampines,419,Tampines Street 41,2,2854.7021484375
2022-03,jurong east,39,teban gardens road,2,2005.132568359375
2021-04,sengkang,261a,sengkang east way,4,2099.773681640625
2021-01,pasir ris,725,Pasir Ris Street 72,3,2175.93017578125
2021-12,pasir ris,508,pasir ris street 52,5,1984.6368408203125
2021-04,pasir ris,636,pasir ris drive 1,4,2264.21484375
2021-03,choa chu kang,766,Choa Chu Kang North 5,4,2068.80859375
2021-07,punggol,652,punggol central,4,2098.018798828125
2021-03,jurong west,683a,jurong west central 1,4,2490.430908203125
2021-12,punggol,162b,Punggol Central,4,2154.76025390625
2022-08,bedok,616,Bedok Reservoir Road,2,2205.209716796875
2021-11,bedok,744,bedok reservoir road,2,1924.4906005859375
2022-07,jurong west,987d,jurong west street 93,4,3216.015625
2023-06,bukit merah,22,Havelock Road,2,3053.8583984375
2023-05,bishan,153,bishan street 13,3,3293.43408203125
2022-06,jurong east,44,teban gardens road,3,2519.20458984375
2023-04,tampines,144,tampines street 12,2,2316.962158203125
2022-05,geylang,101,aljunied crescent,2,2486.2939453125
2021-04,jurong west,648a,Jurong West Street 61,3,2221.954833984375
2023-07,jurong east,43,teban gardens road,2,3129.938720703125
2023-02,hougang,630,Hougang Avenue 8,3,2786.231201171875
2022-12,sengkang,413b,Fernvale Link,3,2912.0009765625
2021-05,ang mo kio,588b,ang mo kio street 52,3,2415.52880859375
2023-06,woodlands,671,woodlands drive 71,4,3588.14013671875
2023-01,kallang/whampoa,10b,bendemeer road,3,4236.212890625
2022-10,tampines,154,simei street 1,4,2782.666748046875
2021-03,ang mo kio,472,ang mo kio avenue 10,3,2192.813720703125
2021-12,bedok,747a,bedok reservoir crescent,4,3059.3916015625
2022-02,toa payoh,147,lorong 2 toa payoh,4,2945.977783203125
2022-04,central,28,kelantan road,2,2615.3994140625
2022-03,woodlands,682d,woodlands drive 73,3,2080.623779296875
