flat_type,floor_area_sqm,lease_commence_date,latitude,longitude,monthly_rent,year,month,resale_price_index,average_school_rank
2,67.0,1983,1.344518043,103.7386303,1600,2021,9,150.6,129.5
3,92.0,1978,1.33018552,103.9387166,2250,2022,5,163.9,96.45454545454545
2,67.0,1971,1.332242149,103.8456431,1900,2022,10,171.9,90.875
5,149.0,1993,1.370238552,103.9628942,2850,2021,8,150.6,120.85714285714286
2,68.0,1972,1.320501696,103.8633413,2100,2022,11,171.9,74.33333333333333
5,130.0,2001,1.387846919,103.7642493,2300,2023,4,176.2,108.0
4,110.0,2005,1.388997392,103.875148,2100,2021,1,142.2,104.75
2,67.0,1978,1.366048084,103.8381227,2300,2022,6,163.9,108.625
3,84.0,1987,1.344279409,103.8555557,2100,2021,10,155.7,52.5
4,112.0,2003,1.392831554,103.9106201,2100,2021,4,146.4,101.58333333333333
3,104.0,1993,1.382166605,103.7422483,1800,2021,3,142.2,111.125
4,123.0,1995,1.376790486,103.9407416,2450,2022,2,159.5,120.85714285714286
3,84.0,1986,1.32011535,103.9465703,2400,2021,7,150.6,96.45454545454545
2,60.0,1986,1.328696112,103.9419956,2000,2022,2,159.5,96.45454545454545
3,93.0,2016,1.390611955,103.8799636,3150,2023,4,176.2,104.75
3,112.0,1993,1.379202527,103.7394381,2700,2021,8,150.6,111.125
3,91.0,1981,1.302409531,103.7628048,4850,2022,12,171.9,75.25
4,113.0,2015,1.370545294,103.9475946,4400,2023,1,173.6,120.85714285714286
2,69.0,1988,1.355879087,103.7497991,1600,2022,1,159.5,97.66666666666667
4,110.0,2001,1.44798211,103.8185069,2600,2022,1,159.5,97.83333333333333
2,81.0,1984,1.350850806,103.7244373,2300,2022,11,171.9,91.46153846153847
2,73.0,1993,1.431508964,103.7763618,2300,2022,10,171.9,109.63636363636364
2,60.0,1967,1.303787444,103.8003853,2750,2023,7,178.5,71.2
4,110.0,2003,1.391348504,103.8880124,2100,2021,1,142.2,104.75
3,91.0,2002,1.33541318,103.7002893,2150,2021,1,142.2,91.46153846153847
2,68.0,1980,1.308666022,103.7602582,2100,2022,5,163.9,75.25
4,110.0,2001,1.336489677,103.7007574,2500,2021,6,146.4,91.46153846153847
4,121.0,2000,1.441401719,103.8039982,2000,2021,4,146.4,109.63636363636364
3,97.0,1978,1.366649726,103.8501337,3000,2023,5,176.2,108.625
3,104.0,1996,1.375947589,103.9360009,2100,2023,3,173.6,120.85714285714286
3,92.0,1984,1.428375953,103.8341135,2300,2021,5,146.4,99.1
2,68.0,1985,1.431983196,103.8302534,2000,2023,4,176.2,99.1
2,68.0,1980,1.380768961,103.8423784,2100,2022,1,159.5,108.625
2,64.0,1989,1.33999732,103.7729608,2850,2022,10,171.9,87.5
2,65.0,1975,1.306512573,103.9154848,2300,2021,6,146.4,77.33333333333333
3,100.0,1997,1.288633659,103.8096439,2250,2021,2,142.2,108.375
3,98.0,1978,1.443987889,103.7720095,1600,2021,7,150.6,109.63636363636364
5,141.0,1998,1.381159263,103.7563626,3150,2022,7,168.1,111.125
3,92.0,2015,1.39567244,103.8901254,3700,2023,7,178.5,104.75
4,121.0,1997,1.337667461,103.7241548,3700,2023,6,176.2,91.46153846153847
3,85.0,2004,1.398524282,103.9038627,2400,2021,9,150.6,101.58333333333333
4,114.0,2004,1.395312099,103.9157082,2100,2022,3,159.5,101.58333333333333
3,90.0,2000,1.387950188,103.8957793,2600,2022,3,159.5,104.75
4,110.0,2001,1.397032668,103.897023,2500,2022,5,163.9,104.75
5,130.0,2003,1.396245169,103.9070873,1950,2021,8,150.6,101.58333333333333
2,59.0,1977,1.322994312,103.9044498,1700,2023,2,173.6,82.28571428571429
4,120.0,1997,1.383696616,103.7720956,2950,2023,2,173.6,108.0
2,67.0,1984,1.352202953,103.8801732,1700,2022,7,168.1,86.11111111111111
3,105.0,1989,1.343720248,103.6893771,1600,2021,5,146.4,91.46153846153847
3,92.0,2014,1.375182544,103.900406,4000,2023,2,173.6,86.11111111111111
2,67.0,1971,1.33291837,103.8567631,1700,2021,2,142.2,90.875
4,115.0,2000,1.387731704,103.9006343,2200,2022,1,159.5,104.75
3,107.0,1996,1.354512737,103.9630286,1800,2021,12,155.7,97.83333333333333
3,105.0,1988,1.416451295,103.8367411,2500,2021,4,146.4,99.1
5,144.0,1994,1.365941684,103.9634759,2850,2021,2,142.2,120.85714285714286
3,90.0,2001,1.451998179,103.8194756,1750,2021,3,142.2,97.83333333333333
3,90.0,2000,1.340946409,103.6995254,1600,2021,7,150.6,91.46153846153847
3,90.0,1999,1.376684642,103.7368179,2000,2021,1,142.2,111.125
5,142.0,2000,1.378101299,103.7360023,1800,2021,9,150.6,111.125
5,147.0,1993,1.344478546,103.6934788,4500,2023,6,176.2,91.46153846153847
4,110.0,2004,1.341566764,103.6979704,4200,2023,5,176.2,91.46153846153847
2,73.0,1978,1.322837033,103.9391245,2200,2021,7,150.6,96.45454545454545
2,65.0,1982,1.342052874,103.849396,1900,2021,5,146.4,90.875
2,67.0,1970,1.334555701,103.8571912,2000,2022,10,171.9,90.875
3,93.0,2013,1.420369191,103.8444037,2600,2022,6,163.9,99.1
